citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
STLS,REACH,Y85-89,NR,F,SK	0 	0 p	0 p	0 p
STLS,REACH,Y85-89,NR,M,BE	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,BG	0 	0 	0 p	0 p
STLS,REACH,Y85-89,NR,M,CH	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,CY	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,CZ	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,DE	0 b	0 e	0 	0 
STLS,REACH,Y85-89,NR,M,DK	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,EE	0 	0 b	0 	0 
STLS,REACH,Y85-89,NR,M,ES	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,FI	1 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,FR	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,HR	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,HU	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,IS	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,IT	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,LI	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,LT	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,LU	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,LV	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,NL	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,NO	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y85-89,NR,M,PT	0 e	0 e	0 	0 
STLS,REACH,Y85-89,NR,M,SE	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,M,SK	0 	0 p	0 p	0 p
STLS,REACH,Y85-89,NR,T,BE	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,BG	0 	0 p	0 p	0 p
STLS,REACH,Y85-89,NR,T,CH	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,CY	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,CZ	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,DE	0 b	0 e	2 	0 
STLS,REACH,Y85-89,NR,T,DK	0 	0 	0 	3 
STLS,REACH,Y85-89,NR,T,EE	0 	1 b	0 	0 
STLS,REACH,Y85-89,NR,T,ES	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,FI	1 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,FR	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,HR	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,HU	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,IS	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,IT	2 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,LI	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,LT	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,LU	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,LV	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,NL	1 	1 	0 	0 
STLS,REACH,Y85-89,NR,T,NO	0 	0 	0 	0 
STLS,REACH,Y85-89,NR,T,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y85-89,NR,T,PT	0 e	0 e	0 	0 
STLS,REACH,Y85-89,NR,T,SE	2 	1 	1 	0 
STLS,REACH,Y85-89,NR,T,SK	0 	0 p	0 p	0 p
STLS,REACH,Y90-94,NR,F,BE	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,BG	0 	0 	0 p	0 p
STLS,REACH,Y90-94,NR,F,CH	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,CY	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,CZ	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,DE	1 b	0 e	0 	0 
STLS,REACH,Y90-94,NR,F,DK	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,EE	0 	0 b	0 	0 
STLS,REACH,Y90-94,NR,F,ES	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,FI	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,FR	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,HR	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,HU	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,IS	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,IT	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,LI	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,LT	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,LU	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,LV	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,NL	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,NO	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y90-94,NR,F,PT	0 e	0 e	0 	0 
STLS,REACH,Y90-94,NR,F,SE	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,F,SK	0 	0 p	0 p	0 p
STLS,REACH,Y90-94,NR,M,BE	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,BG	0 	0 	0 p	0 p
STLS,REACH,Y90-94,NR,M,CH	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,CY	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,CZ	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,DE	0 b	0 e	0 	0 
STLS,REACH,Y90-94,NR,M,DK	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,EE	0 	0 b	0 	0 
STLS,REACH,Y90-94,NR,M,ES	1 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,FI	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,FR	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,HR	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,HU	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,IS	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,IT	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,LI	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,LT	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,LU	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,LV	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,NL	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,NO	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,M,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y90-94,NR,M,PT	0 e	0 e	0 	0 
STLS,REACH,Y90-94,NR,M,SE	0 	0 	2 	1 
STLS,REACH,Y90-94,NR,M,SK	0 	0 p	0 p	0 p
STLS,REACH,Y90-94,NR,T,BE	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,BG	0 	0 p	0 p	0 p
STLS,REACH,Y90-94,NR,T,CH	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,CY	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,CZ	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,DE	1 b	0 e	0 	0 
STLS,REACH,Y90-94,NR,T,DK	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,EE	0 	0 b	0 	0 
STLS,REACH,Y90-94,NR,T,ES	1 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,FI	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,FR	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,HR	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,HU	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,IS	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,IT	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,LI	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,LT	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,LU	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,LV	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,NL	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,NO	0 	0 	0 	0 
STLS,REACH,Y90-94,NR,T,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y90-94,NR,T,PT	0 e	0 e	0 	0 
STLS,REACH,Y90-94,NR,T,SE	0 	0 	2 	1 
STLS,REACH,Y90-94,NR,T,SK	0 	0 p	0 p	0 p
STLS,REACH,Y95-99,NR,F,BE	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,BG	0 	0 	0 p	0 p
STLS,REACH,Y95-99,NR,F,CH	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,CY	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,CZ	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,DE	0 b	0 e	0 	0 
STLS,REACH,Y95-99,NR,F,DK	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,EE	0 	1 b	0 	0 
STLS,REACH,Y95-99,NR,F,ES	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,FI	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,FR	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,HR	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,HU	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,IS	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,IT	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,LI	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,LT	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,LU	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,LV	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,NL	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,NO	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y95-99,NR,F,PT	0 e	0 e	0 	0 
STLS,REACH,Y95-99,NR,F,SE	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,F,SK	0 	0 p	0 p	0 p
STLS,REACH,Y95-99,NR,M,BE	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,BG	0 	0 	0 p	0 p
STLS,REACH,Y95-99,NR,M,CH	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,CY	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,CZ	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,DE	0 b	0 e	0 	0 
STLS,REACH,Y95-99,NR,M,DK	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,EE	0 	0 b	0 	0 
STLS,REACH,Y95-99,NR,M,ES	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,FI	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,FR	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,HR	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,HU	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,IS	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,IT	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,LI	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,LT	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,LU	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,LV	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,NL	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,NO	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y95-99,NR,M,PT	0 e	0 e	0 	0 
STLS,REACH,Y95-99,NR,M,SE	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,M,SK	0 	0 p	0 p	0 p
STLS,REACH,Y95-99,NR,T,BE	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,BG	0 	0 p	0 p	0 p
STLS,REACH,Y95-99,NR,T,CH	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,CY	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,CZ	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,DE	0 b	0 e	0 	0 
STLS,REACH,Y95-99,NR,T,DK	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,EE	0 	1 b	0 	0 
STLS,REACH,Y95-99,NR,T,ES	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,FI	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,FR	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,HR	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,HU	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,IS	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,IT	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,LI	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,LT	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,LU	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,LV	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,NL	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,NO	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y95-99,NR,T,PT	0 e	0 e	0 	0 
STLS,REACH,Y95-99,NR,T,SE	0 	0 	0 	0 
STLS,REACH,Y95-99,NR,T,SK	0 	0 p	0 p	0 p
STLS,REACH,Y_GE100,NR,F,BE	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,BG	0 	0 	0 p	0 p
STLS,REACH,Y_GE100,NR,F,CH	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,CY	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,CZ	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,DE	0 b	0 e	0 	: 
STLS,REACH,Y_GE100,NR,F,DK	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,EE	0 	0 b	0 	0 
STLS,REACH,Y_GE100,NR,F,ES	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,FI	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,FR	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,HR	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,HU	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,IS	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,IT	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,LI	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,LT	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,LU	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,LV	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,NL	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,NO	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y_GE100,NR,F,PT	0 e	0 e	0 	0 
STLS,REACH,Y_GE100,NR,F,SE	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,F,SK	0 	0 p	0 p	0 p
STLS,REACH,Y_GE100,NR,M,BE	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,BG	0 	0 	0 p	0 p
STLS,REACH,Y_GE100,NR,M,CH	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,CY	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,CZ	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,DE	0 b	0 e	0 	: 
STLS,REACH,Y_GE100,NR,M,DK	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,EE	0 	0 b	0 	0 
STLS,REACH,Y_GE100,NR,M,ES	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,FI	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,FR	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,HR	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,HU	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,IS	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,IT	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,LI	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,LT	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,LU	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,LV	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,NL	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,NO	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y_GE100,NR,M,PT	0 e	0 e	0 	0 
STLS,REACH,Y_GE100,NR,M,SE	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,M,SK	0 	0 p	0 p	0 p
STLS,REACH,Y_GE100,NR,T,BE	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,BG	0 	0 p	0 p	0 p
STLS,REACH,Y_GE100,NR,T,CH	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,CY	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,CZ	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,DE	0 b	0 e	0 	: 
STLS,REACH,Y_GE100,NR,T,DK	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,EE	0 	0 b	0 	0 
STLS,REACH,Y_GE100,NR,T,ES	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,FI	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,FR	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,HR	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,HU	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,IS	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,IT	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,LI	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,LT	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,LU	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,LV	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,NL	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,NO	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y_GE100,NR,T,PT	0 e	0 e	0 	0 
STLS,REACH,Y_GE100,NR,T,SE	0 	0 	0 	0 
STLS,REACH,Y_GE100,NR,T,SK	0 	0 p	0 p	0 p
STLS,REACH,Y_GE65,NR,F,BE	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,BG	3 p	8 	4 	1 
STLS,REACH,Y_GE65,NR,F,CH	1 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,CY	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,CZ	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,DE	14 	19 	13 	9 
STLS,REACH,Y_GE65,NR,F,DK	4 	2 	10 	19 
STLS,REACH,Y_GE65,NR,F,EE	0 	8 	0 	0 
STLS,REACH,Y_GE65,NR,F,ES	5 	4 	2 	1 
STLS,REACH,Y_GE65,NR,F,FI	3 	0 	0 	1 
STLS,REACH,Y_GE65,NR,F,FR	0 	: 	: 	: 
STLS,REACH,Y_GE65,NR,F,HR	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,HU	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,IS	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,IT	2 	0 	1 	0 
STLS,REACH,Y_GE65,NR,F,LI	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,LT	1 	3 	0 	1 
STLS,REACH,Y_GE65,NR,F,LU	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,LV	1 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,NL	26 	15 	12 	0 
STLS,REACH,Y_GE65,NR,F,NO	11 	7 	4 	2 
STLS,REACH,Y_GE65,NR,F,PL	0 	0 	0 	4 
STLS,REACH,Y_GE65,NR,F,PT	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,F,SE	85 	45 	41 	49 
STLS,REACH,Y_GE65,NR,F,SK	0 p	0 p	0 p	0 p
STLS,REACH,Y_GE65,NR,M,BE	3 	1 	0 	1 
STLS,REACH,Y_GE65,NR,M,BG	2 p	5 	2 	2 
STLS,REACH,Y_GE65,NR,M,CH	0 	0 	1 	0 
STLS,REACH,Y_GE65,NR,M,CY	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,CZ	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,DE	22 	26 	16 	8 
STLS,REACH,Y_GE65,NR,M,DK	4 	3 	10 	13 
STLS,REACH,Y_GE65,NR,M,EE	0 	4 	1 	0 
STLS,REACH,Y_GE65,NR,M,ES	2 	1 	0 	1 
STLS,REACH,Y_GE65,NR,M,FI	1 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,FR	0 	: 	: 	: 
STLS,REACH,Y_GE65,NR,M,HR	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,HU	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,IS	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,IT	0 	0 	1 	0 
STLS,REACH,Y_GE65,NR,M,LI	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,LT	0 	1 	0 	0 
STLS,REACH,Y_GE65,NR,M,LU	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,LV	1 	0 	2 	0 
STLS,REACH,Y_GE65,NR,M,NL	27 	26 	11 	0 
STLS,REACH,Y_GE65,NR,M,NO	13 	4 	1 	2 
STLS,REACH,Y_GE65,NR,M,PL	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,PT	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,M,SE	93 	47 	57 	45 
STLS,REACH,Y_GE65,NR,M,SK	0 p	0 p	0 p	0 p
STLS,REACH,Y_GE65,NR,T,BE	3 	1 	0 	1 
STLS,REACH,Y_GE65,NR,T,BG	5 p	13 p	6 	3 
STLS,REACH,Y_GE65,NR,T,CH	1 	0 	1 	0 
STLS,REACH,Y_GE65,NR,T,CY	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,T,CZ	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,T,DE	36 	45 	29 	17 
STLS,REACH,Y_GE65,NR,T,DK	8 	5 	20 	32 
STLS,REACH,Y_GE65,NR,T,EE	0 	12 	1 	0 
STLS,REACH,Y_GE65,NR,T,ES	7 	5 	2 	2 
STLS,REACH,Y_GE65,NR,T,FI	4 	0 	0 	1 
STLS,REACH,Y_GE65,NR,T,FR	0 	: 	: 	: 
STLS,REACH,Y_GE65,NR,T,HR	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,T,HU	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,T,IS	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,T,IT	2 	0 	2 	0 
STLS,REACH,Y_GE65,NR,T,LI	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,T,LT	1 	4 	0 	1 
STLS,REACH,Y_GE65,NR,T,LU	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,T,LV	2 	0 	2 	0 
STLS,REACH,Y_GE65,NR,T,NL	53 	41 	23 	0 
STLS,REACH,Y_GE65,NR,T,NO	24 	11 	5 	4 
STLS,REACH,Y_GE65,NR,T,PL	0 	0 	0 	4 
STLS,REACH,Y_GE65,NR,T,PT	0 	0 	0 	0 
STLS,REACH,Y_GE65,NR,T,SE	178 	92 	98 	94 
STLS,REACH,Y_GE65,NR,T,SK	0 p	0 p	0 p	0 p
STLS,REACH,Y_GE85,NR,F,BE	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,BG	0 p	0 	0 p	0 p
STLS,REACH,Y_GE85,NR,F,CH	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,CY	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,CZ	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,DE	1 b	0 e	2 	0 
STLS,REACH,Y_GE85,NR,F,DK	0 	0 	0 	3 
STLS,REACH,Y_GE85,NR,F,EE	0 	2 b	0 	0 
STLS,REACH,Y_GE85,NR,F,ES	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,FI	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,FR	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,HR	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,HU	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,IS	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,IT	2 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,LI	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,LT	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,LU	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,LV	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,NL	1 	1 	0 	0 
STLS,REACH,Y_GE85,NR,F,NO	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,F,PL	0 ep	0 p	0 p	0 
STLS,REACH,Y_GE85,NR,F,PT	0 e	0 e	0 	0 
STLS,REACH,Y_GE85,NR,F,SE	2 	1 	1 	0 
STLS,REACH,Y_GE85,NR,F,SK	0 p	0 p	0 p	0 p
STLS,REACH,Y_GE85,NR,M,BE	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,BG	0 p	0 	0 p	0 p
STLS,REACH,Y_GE85,NR,M,CH	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,CY	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,CZ	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,DE	0 b	0 e	0 	0 
STLS,REACH,Y_GE85,NR,M,DK	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,EE	0 	0 b	0 	0 
STLS,REACH,Y_GE85,NR,M,ES	1 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,FI	1 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,FR	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,HR	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,HU	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,IS	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,IT	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,LI	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,LT	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,LU	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,LV	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,NL	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,NO	0 	0 	0 	0 
STLS,REACH,Y_GE85,NR,M,PL	0 ep	0 p	0 p	0 
