age,c_birth,unit,sex,geo\time	2017 	2016 	2015 	2014 
Y55-59,EXT_FOR_HDI_H,NR,T,ES	120848 	108911 	98069 	89117 
Y55-59,EXT_FOR_HDI_H,NR,T,FI	7707 	7168 	6636 	6266 
Y55-59,EXT_FOR_HDI_H,NR,T,FR	218051 p	213176 p	215066 p	214901 
Y55-59,EXT_FOR_HDI_H,NR,T,HR	47501 	47205 	46684 	46581 
Y55-59,EXT_FOR_HDI_H,NR,T,HU	6155 	5822 	5236 	4780 
Y55-59,EXT_FOR_HDI_H,NR,T,IE	1175 	1029 	1017 	1000 
Y55-59,EXT_FOR_HDI_H,NR,T,IS	164 	138 	119 	88 
Y55-59,EXT_FOR_HDI_H,NR,T,IT	102650 e	96510 	89961 	104450 
Y55-59,EXT_FOR_HDI_H,NR,T,LI	101 	98 	98 	119 
Y55-59,EXT_FOR_HDI_H,NR,T,LT	17261 	18493 	19304 	19469 
Y55-59,EXT_FOR_HDI_H,NR,T,LU	1252 b	721 	667 	627 
Y55-59,EXT_FOR_HDI_H,NR,T,LV	28514 	29982 	30935 	31523 
Y55-59,EXT_FOR_HDI_H,NR,T,MT	341 	339 	267 	185 
Y55-59,EXT_FOR_HDI_H,NR,T,NL	24346 	23264 	21821 	20761 
Y55-59,EXT_FOR_HDI_H,NR,T,NO	7002 	6459 	5900 	5362 
Y55-59,EXT_FOR_HDI_H,NR,T,PL	5406 ep	6666 p	7252 p	9098 p
Y55-59,EXT_FOR_HDI_H,NR,T,PT	12879 	12035 	12060 	10922 
Y55-59,EXT_FOR_HDI_H,NR,T,RO	1124 	833 	691 	574 e
Y55-59,EXT_FOR_HDI_H,NR,T,SE	30800 	29267 	27483 	26207 
Y55-59,EXT_FOR_HDI_H,NR,T,SI	17052 	16804 	15892 	15450 
Y55-59,EXT_FOR_HDI_H,NR,T,SK	1784 	1659 	1561 	1474 
Y55-59,EXT_FOR_HDI_H,NR,T,UK	85606 	75169 	66337 	68751 
Y55-59,EXT_FOR_HDI_L,NR,F,AT	656 	575 	430 	384 
Y55-59,EXT_FOR_HDI_L,NR,F,BE	8637 	9500 	9568 	9226 
Y55-59,EXT_FOR_HDI_L,NR,F,BG	40 	38 	34 	33 
Y55-59,EXT_FOR_HDI_L,NR,F,CH	2628 	2456 	2151 	1964 
Y55-59,EXT_FOR_HDI_L,NR,F,CY	29 	39 	55 	127 
Y55-59,EXT_FOR_HDI_L,NR,F,CZ	25 	21 	16 	13 
Y55-59,EXT_FOR_HDI_L,NR,F,DK	1313 	1292 	1195 	1181 
Y55-59,EXT_FOR_HDI_L,NR,F,EE	2 	2 	2 b	0 
Y55-59,EXT_FOR_HDI_L,NR,F,EL	738 	693 	647 	631 
Y55-59,EXT_FOR_HDI_L,NR,F,ES	1880 	1738 	1511 	1358 
Y55-59,EXT_FOR_HDI_L,NR,F,FI	390 	342 	295 	253 
Y55-59,EXT_FOR_HDI_L,NR,F,FR	43256 p	43175 p	39348 p	36725 
Y55-59,EXT_FOR_HDI_L,NR,F,HR	4 	4 	6 	7 
Y55-59,EXT_FOR_HDI_L,NR,F,HU	42 	41 	36 	35 
Y55-59,EXT_FOR_HDI_L,NR,F,IE	491 	470 	399 	426 
Y55-59,EXT_FOR_HDI_L,NR,F,IS	6 	6 	5 	4 
Y55-59,EXT_FOR_HDI_L,NR,F,IT	6016 e	5646 	5134 	4689 
Y55-59,EXT_FOR_HDI_L,NR,F,LI	2 	1 	1 	0 
Y55-59,EXT_FOR_HDI_L,NR,F,LT	5 	4 	2 	3 
Y55-59,EXT_FOR_HDI_L,NR,F,LU	281 b	82 	76 	72 
Y55-59,EXT_FOR_HDI_L,NR,F,LV	0 	0 	0 	0 
Y55-59,EXT_FOR_HDI_L,NR,F,MT	23 	17 	14 	13 
Y55-59,EXT_FOR_HDI_L,NR,F,NL	3313 	3072 	2768 	2548 
Y55-59,EXT_FOR_HDI_L,NR,F,NO	1742 	1681 	1499 	1403 
Y55-59,EXT_FOR_HDI_L,NR,F,PL	28 ep	28 p	24 p	7 p
Y55-59,EXT_FOR_HDI_L,NR,F,PT	16062 	15613 	13766 	12727 
Y55-59,EXT_FOR_HDI_L,NR,F,RO	5 	3 	2 	3 e
Y55-59,EXT_FOR_HDI_L,NR,F,SE	3335 	2963 	2392 	2140 
Y55-59,EXT_FOR_HDI_L,NR,F,SI	5 	8 	10 	9 
Y55-59,EXT_FOR_HDI_L,NR,F,SK	14 	17 	14 	13 
Y55-59,EXT_FOR_HDI_L,NR,F,UK	62763 	67580 	63872 	54906 
Y55-59,EXT_FOR_HDI_L,NR,M,AT	1190 	1059 	830 	732 
Y55-59,EXT_FOR_HDI_L,NR,M,BE	9389 	10149 	10044 	9553 
Y55-59,EXT_FOR_HDI_L,NR,M,BG	89 	93 	78 	71 
Y55-59,EXT_FOR_HDI_L,NR,M,CH	3007 	2917 	2577 	2365 
Y55-59,EXT_FOR_HDI_L,NR,M,CY	122 	118 	114 	110 
Y55-59,EXT_FOR_HDI_L,NR,M,CZ	145 	128 	106 	97 
Y55-59,EXT_FOR_HDI_L,NR,M,DK	1607 	1559 	1366 	1270 
Y55-59,EXT_FOR_HDI_L,NR,M,EE	7 	6 	6 b	4 
Y55-59,EXT_FOR_HDI_L,NR,M,EL	1217 	1154 	1137 	1115 
Y55-59,EXT_FOR_HDI_L,NR,M,ES	7094 	6932 	6082 	5601 
Y55-59,EXT_FOR_HDI_L,NR,M,FI	587 	548 	439 	407 
Y55-59,EXT_FOR_HDI_L,NR,M,FR	45751 p	45249 p	43293 p	41787 
Y55-59,EXT_FOR_HDI_L,NR,M,HR	17 	11 	13 	12 
Y55-59,EXT_FOR_HDI_L,NR,M,HU	171 	160 	153 	140 
Y55-59,EXT_FOR_HDI_L,NR,M,IE	579 	597 	549 	530 
Y55-59,EXT_FOR_HDI_L,NR,M,IS	11 	8 	6 	6 
Y55-59,EXT_FOR_HDI_L,NR,M,IT	14622 e	13658 	11941 	10793 
Y55-59,EXT_FOR_HDI_L,NR,M,LI	7 	7 	8 	9 
Y55-59,EXT_FOR_HDI_L,NR,M,LT	0 	2 	2 	1 
Y55-59,EXT_FOR_HDI_L,NR,M,LU	306 b	95 	88 	82 
Y55-59,EXT_FOR_HDI_L,NR,M,LV	4 	4 	2 	2 
Y55-59,EXT_FOR_HDI_L,NR,M,MT	36 	33 	25 	20 
Y55-59,EXT_FOR_HDI_L,NR,M,NL	4287 	4122 	3676 	3384 
Y55-59,EXT_FOR_HDI_L,NR,M,NO	2471 	2374 	2023 	1812 
Y55-59,EXT_FOR_HDI_L,NR,M,PL	93 ep	66 p	52 p	63 p
Y55-59,EXT_FOR_HDI_L,NR,M,PT	14396 	14006 	11360 	11678 
Y55-59,EXT_FOR_HDI_L,NR,M,RO	20 	13 	5 	7 e
Y55-59,EXT_FOR_HDI_L,NR,M,SE	4033 	3839 	3223 	3036 
Y55-59,EXT_FOR_HDI_L,NR,M,SI	7 	11 	13 	14 
Y55-59,EXT_FOR_HDI_L,NR,M,SK	36 	30 	22 	18 
Y55-59,EXT_FOR_HDI_L,NR,M,UK	71674 	66733 	69918 	61813 
Y55-59,EXT_FOR_HDI_L,NR,T,AT	1846 	1634 	1260 	1116 
Y55-59,EXT_FOR_HDI_L,NR,T,BE	18026 	19649 	19612 	18779 
Y55-59,EXT_FOR_HDI_L,NR,T,BG	129 	131 	112 	104 
Y55-59,EXT_FOR_HDI_L,NR,T,CH	5635 	5373 	4728 	4329 
Y55-59,EXT_FOR_HDI_L,NR,T,CY	151 	157 	169 	237 
Y55-59,EXT_FOR_HDI_L,NR,T,CZ	170 	149 	122 	110 
Y55-59,EXT_FOR_HDI_L,NR,T,DK	2920 	2851 	2561 	2451 
Y55-59,EXT_FOR_HDI_L,NR,T,EE	9 	8 	8 b	4 
Y55-59,EXT_FOR_HDI_L,NR,T,EL	1955 	1847 	1784 	1746 
Y55-59,EXT_FOR_HDI_L,NR,T,ES	8974 	8670 	7593 	6959 
Y55-59,EXT_FOR_HDI_L,NR,T,FI	977 	890 	734 	660 
Y55-59,EXT_FOR_HDI_L,NR,T,FR	89007 p	88424 p	82641 p	78512 
Y55-59,EXT_FOR_HDI_L,NR,T,HR	21 	15 	19 	19 
Y55-59,EXT_FOR_HDI_L,NR,T,HU	213 	201 	189 	175 
Y55-59,EXT_FOR_HDI_L,NR,T,IE	1070 	1067 	948 	956 
Y55-59,EXT_FOR_HDI_L,NR,T,IS	17 	14 	11 	10 
Y55-59,EXT_FOR_HDI_L,NR,T,IT	20638 e	19304 	17075 	15482 
Y55-59,EXT_FOR_HDI_L,NR,T,LI	9 	8 	9 	9 
Y55-59,EXT_FOR_HDI_L,NR,T,LT	5 	6 	4 	4 
Y55-59,EXT_FOR_HDI_L,NR,T,LU	587 b	177 	164 	154 
Y55-59,EXT_FOR_HDI_L,NR,T,LV	4 	4 	2 	2 
Y55-59,EXT_FOR_HDI_L,NR,T,MT	59 	50 	39 	33 
Y55-59,EXT_FOR_HDI_L,NR,T,NL	7600 	7194 	6444 	5932 
Y55-59,EXT_FOR_HDI_L,NR,T,NO	4213 	4055 	3522 	3215 
Y55-59,EXT_FOR_HDI_L,NR,T,PL	121 ep	94 p	76 p	70 p
Y55-59,EXT_FOR_HDI_L,NR,T,PT	30458 	29619 	25126 	24405 
Y55-59,EXT_FOR_HDI_L,NR,T,RO	25 	16 	7 	10 e
Y55-59,EXT_FOR_HDI_L,NR,T,SE	7368 	6802 	5615 	5176 
Y55-59,EXT_FOR_HDI_L,NR,T,SI	12 	19 	23 	23 
Y55-59,EXT_FOR_HDI_L,NR,T,SK	50 	47 	36 	31 
Y55-59,EXT_FOR_HDI_L,NR,T,UK	134437 	134313 	133790 	116719 
Y55-59,EXT_FOR_HDI_M,NR,F,AT	4009 	3908 	3581 	3384 
Y55-59,EXT_FOR_HDI_M,NR,F,BE	12900 	12443 	11484 	10899 
Y55-59,EXT_FOR_HDI_M,NR,F,BG	465 	429 	401 	300 
Y55-59,EXT_FOR_HDI_M,NR,F,CH	7396 	7087 	6629 	6159 
Y55-59,EXT_FOR_HDI_M,NR,F,CY	300 	353 	503 	1183 
Y55-59,EXT_FOR_HDI_M,NR,F,CZ	1901 	1644 	1429 	1190 
Y55-59,EXT_FOR_HDI_M,NR,F,DK	3545 	3291 	3002 	2749 
Y55-59,EXT_FOR_HDI_M,NR,F,EE	266 	263 	260 b	278 
Y55-59,EXT_FOR_HDI_M,NR,F,EL	5150 	4835 	4568 	4444 
Y55-59,EXT_FOR_HDI_M,NR,F,ES	39855 	37369 	34500 	32403 
Y55-59,EXT_FOR_HDI_M,NR,F,FI	1040 	934 	809 	720 
Y55-59,EXT_FOR_HDI_M,NR,F,FR	74910 p	77439 p	77984 p	79294 
Y55-59,EXT_FOR_HDI_M,NR,F,HR	40 	39 	40 	35 
Y55-59,EXT_FOR_HDI_M,NR,F,HU	778 	716 	645 	584 
Y55-59,EXT_FOR_HDI_M,NR,F,IE	731 	753 	706 	717 
Y55-59,EXT_FOR_HDI_M,NR,F,IS	221 	190 	173 	158 
Y55-59,EXT_FOR_HDI_M,NR,F,IT	45639 e	42201 	38192 	34943 
Y55-59,EXT_FOR_HDI_M,NR,F,LI	19 	15 	16 	16 
Y55-59,EXT_FOR_HDI_M,NR,F,LT	166 	160 	151 	167 
Y55-59,EXT_FOR_HDI_M,NR,F,LU	556 b	1138 	1053 	994 
Y55-59,EXT_FOR_HDI_M,NR,F,LV	404 	390 	367 	380 
Y55-59,EXT_FOR_HDI_M,NR,F,MT	163 	159 	133 	114 
Y55-59,EXT_FOR_HDI_M,NR,F,NL	36103 	35724 	34923 	34802 
Y55-59,EXT_FOR_HDI_M,NR,F,NO	3929 	3610 	3388 	3097 
Y55-59,EXT_FOR_HDI_M,NR,F,PL	274 ep	194 p	143 p	189 p
Y55-59,EXT_FOR_HDI_M,NR,F,PT	3165 	5578 	3962 	3100 
Y55-59,EXT_FOR_HDI_M,NR,F,RO	2842 	2316 	1847 	1182 e
Y55-59,EXT_FOR_HDI_M,NR,F,SE	11237 	10037 	8901 	7935 
Y55-59,EXT_FOR_HDI_M,NR,F,SI	41 	33 	25 	32 
Y55-59,EXT_FOR_HDI_M,NR,F,SK	107 	103 	84 	76 
Y55-59,EXT_FOR_HDI_M,NR,F,UK	59421 	53700 	51557 	55789 
Y55-59,EXT_FOR_HDI_M,NR,M,AT	4473 	4219 	3708 	3402 
Y55-59,EXT_FOR_HDI_M,NR,M,BE	12890 	12161 	11005 	10439 
Y55-59,EXT_FOR_HDI_M,NR,M,BG	684 	608 	492 	360 
Y55-59,EXT_FOR_HDI_M,NR,M,CH	4659 	4478 	4228 	4010 
Y55-59,EXT_FOR_HDI_M,NR,M,CY	1085 	1061 	1050 	1015 
Y55-59,EXT_FOR_HDI_M,NR,M,CZ	3138 	2900 	2417 	2072 
Y55-59,EXT_FOR_HDI_M,NR,M,DK	3163 	2940 	2620 	2373 
Y55-59,EXT_FOR_HDI_M,NR,M,EE	245 	254 	248 b	236 
Y55-59,EXT_FOR_HDI_M,NR,M,EL	4310 	3760 	3591 	3543 
Y55-59,EXT_FOR_HDI_M,NR,M,ES	36273 	34951 	32737 	30936 
Y55-59,EXT_FOR_HDI_M,NR,M,FI	1017 	922 	865 	788 
Y55-59,EXT_FOR_HDI_M,NR,M,FR	63057 p	62874 p	64185 p	66940 
Y55-59,EXT_FOR_HDI_M,NR,M,HR	94 	87 	83 	61 
Y55-59,EXT_FOR_HDI_M,NR,M,HU	1044 	999 	891 	793 
Y55-59,EXT_FOR_HDI_M,NR,M,IE	819 	825 	765 	719 
Y55-59,EXT_FOR_HDI_M,NR,M,IS	100 	95 	75 	80 
Y55-59,EXT_FOR_HDI_M,NR,M,IT	38253 e	35434 	32013 	29780 
Y55-59,EXT_FOR_HDI_M,NR,M,LI	9 	11 	9 	9 
Y55-59,EXT_FOR_HDI_M,NR,M,LT	145 	135 	157 	175 
Y55-59,EXT_FOR_HDI_M,NR,M,LU	530 b	1199 	1110 	1037 
Y55-59,EXT_FOR_HDI_M,NR,M,LV	412 	388 	405 	390 
Y55-59,EXT_FOR_HDI_M,NR,M,MT	170 	158 	128 	107 
Y55-59,EXT_FOR_HDI_M,NR,M,NL	32933 	31972 	30944 	30567 
Y55-59,EXT_FOR_HDI_M,NR,M,NO	3129 	2884 	2612 	2411 
Y55-59,EXT_FOR_HDI_M,NR,M,PL	441 ep	382 p	291 p	354 p
Y55-59,EXT_FOR_HDI_M,NR,M,PT	4629 	4340 	4220 	3688 
Y55-59,EXT_FOR_HDI_M,NR,M,RO	2973 	2363 	1880 	1172 e
Y55-59,EXT_FOR_HDI_M,NR,M,SE	10971 	9990 	8833 	8087 
Y55-59,EXT_FOR_HDI_M,NR,M,SI	36 	37 	36 	40 
Y55-59,EXT_FOR_HDI_M,NR,M,SK	270 	238 	197 	182 
Y55-59,EXT_FOR_HDI_M,NR,M,UK	46203 	45226 	45277 	41388 
Y55-59,EXT_FOR_HDI_M,NR,T,AT	8482 	8127 	7289 	6786 
Y55-59,EXT_FOR_HDI_M,NR,T,BE	25790 	24604 	22489 	21338 
Y55-59,EXT_FOR_HDI_M,NR,T,BG	1149 	1037 	893 	660 
Y55-59,EXT_FOR_HDI_M,NR,T,CH	12055 	11565 	10857 	10169 
Y55-59,EXT_FOR_HDI_M,NR,T,CY	1385 	1414 	1553 	2198 
Y55-59,EXT_FOR_HDI_M,NR,T,CZ	5039 	4544 	3846 	3262 
Y55-59,EXT_FOR_HDI_M,NR,T,DK	6708 	6231 	5622 	5122 
Y55-59,EXT_FOR_HDI_M,NR,T,EE	511 	517 	508 b	514 
Y55-59,EXT_FOR_HDI_M,NR,T,EL	9460 	8595 	8159 	7987 
Y55-59,EXT_FOR_HDI_M,NR,T,ES	76128 	72320 	67237 	63339 
Y55-59,EXT_FOR_HDI_M,NR,T,FI	2057 	1856 	1674 	1508 
Y55-59,EXT_FOR_HDI_M,NR,T,FR	137967 p	140313 p	142169 p	146234 
Y55-59,EXT_FOR_HDI_M,NR,T,HR	134 	126 	123 	96 
Y55-59,EXT_FOR_HDI_M,NR,T,HU	1822 	1715 	1536 	1377 
Y55-59,EXT_FOR_HDI_M,NR,T,IE	1550 	1578 	1471 	1436 
Y55-59,EXT_FOR_HDI_M,NR,T,IS	321 	285 	248 	238 
Y55-59,EXT_FOR_HDI_M,NR,T,IT	83892 e	77635 	70205 	64723 
Y55-59,EXT_FOR_HDI_M,NR,T,LI	28 	26 	25 	25 
Y55-59,EXT_FOR_HDI_M,NR,T,LT	311 	295 	308 	342 
Y55-59,EXT_FOR_HDI_M,NR,T,LU	1086 b	2337 	2163 	2031 
Y55-59,EXT_FOR_HDI_M,NR,T,LV	816 	778 	772 	770 
Y55-59,EXT_FOR_HDI_M,NR,T,MT	333 	317 	261 	221 
Y55-59,EXT_FOR_HDI_M,NR,T,NL	69036 	67696 	65867 	65369 
Y55-59,EXT_FOR_HDI_M,NR,T,NO	7058 	6494 	6000 	5508 
Y55-59,EXT_FOR_HDI_M,NR,T,PL	715 ep	576 p	434 p	543 p
Y55-59,EXT_FOR_HDI_M,NR,T,PT	7794 	9918 	8182 	6788 
Y55-59,EXT_FOR_HDI_M,NR,T,RO	5815 	4679 	3727 	2354 e
Y55-59,EXT_FOR_HDI_M,NR,T,SE	22208 	20027 	17734 	16022 
Y55-59,EXT_FOR_HDI_M,NR,T,SI	77 	70 	61 	72 
Y55-59,EXT_FOR_HDI_M,NR,T,SK	377 	341 	281 	258 
Y55-59,EXT_FOR_HDI_M,NR,T,UK	105624 	98926 	96834 	97177 
Y55-59,EXT_FOR_HDI_VH,NR,F,AT	1113 	1078 	1044 	962 
Y55-59,EXT_FOR_HDI_VH,NR,F,BE	1290 	1242 	1187 	1159 
Y55-59,EXT_FOR_HDI_VH,NR,F,BG	40 	41 	49 	44 
Y55-59,EXT_FOR_HDI_VH,NR,F,CH	3849 	3719 	3504 	3266 
Y55-59,EXT_FOR_HDI_VH,NR,F,CY	59 	30 	34 	103 
Y55-59,EXT_FOR_HDI_VH,NR,F,CZ	184 	160 	153 	159 
Y55-59,EXT_FOR_HDI_VH,NR,F,DK	1059 	972 	907 	807 
Y55-59,EXT_FOR_HDI_VH,NR,F,EE	12 	13 	16 b	10 
Y55-59,EXT_FOR_HDI_VH,NR,F,EL	1569 	1506 	1430 	1253 
Y55-59,EXT_FOR_HDI_VH,NR,F,ES	13658 	13228 	12911 	12622 
Y55-59,EXT_FOR_HDI_VH,NR,F,FI	250 	241 	205 	203 
Y55-59,EXT_FOR_HDI_VH,NR,F,FR	7065 p	6215 p	6598 p	6394 
Y55-59,EXT_FOR_HDI_VH,NR,F,HR	84 	88 	76 	61 
Y55-59,EXT_FOR_HDI_VH,NR,F,HU	278 	254 	226 	194 
Y55-59,EXT_FOR_HDI_VH,NR,F,IE	1292 	1197 	1162 	1216 
Y55-59,EXT_FOR_HDI_VH,NR,F,IS	63 	61 	61 	63 
Y55-59,EXT_FOR_HDI_VH,NR,F,IT	12390 e	11826 	11169 	10625 
Y55-59,EXT_FOR_HDI_VH,NR,F,LI	12 	10 	8 	4 
Y55-59,EXT_FOR_HDI_VH,NR,F,LT	0 	2 	1 	6 
Y55-59,EXT_FOR_HDI_VH,NR,F,LU	154 b	102 	95 	90 
Y55-59,EXT_FOR_HDI_VH,NR,F,LV	10 	9 	8 	10 
Y55-59,EXT_FOR_HDI_VH,NR,F,MT	281 	256 	215 	181 
Y55-59,EXT_FOR_HDI_VH,NR,F,NL	4092 	3957 	3733 	3453 
Y55-59,EXT_FOR_HDI_VH,NR,F,NO	1845 	1768 	1596 	1464 
Y55-59,EXT_FOR_HDI_VH,NR,F,PL	41 ep	41 p	55 p	57 p
Y55-59,EXT_FOR_HDI_VH,NR,F,PT	746 	329 	248 	146 
Y55-59,EXT_FOR_HDI_VH,NR,F,RO	55 	46 	33 	29 e
Y55-59,EXT_FOR_HDI_VH,NR,F,SE	2859 	2774 	2663 	2663 
Y55-59,EXT_FOR_HDI_VH,NR,F,SI	79 	67 	49 	42 
Y55-59,EXT_FOR_HDI_VH,NR,F,SK	30 	25 	21 	21 
Y55-59,EXT_FOR_HDI_VH,NR,F,UK	21981 	16567 	19804 	20679 
Y55-59,EXT_FOR_HDI_VH,NR,M,AT	976 	893 	805 	765 
Y55-59,EXT_FOR_HDI_VH,NR,M,BE	1291 	1214 	1190 	1195 
Y55-59,EXT_FOR_HDI_VH,NR,M,BG	86 	89 	84 	70 
Y55-59,EXT_FOR_HDI_VH,NR,M,CH	3269 	3217 	3160 	2955 
Y55-59,EXT_FOR_HDI_VH,NR,M,CY	91 	90 	70 	69 
Y55-59,EXT_FOR_HDI_VH,NR,M,CZ	412 	345 	308 	282 
Y55-59,EXT_FOR_HDI_VH,NR,M,DK	1140 	1057 	970 	895 
Y55-59,EXT_FOR_HDI_VH,NR,M,EE	28 	31 	37 b	42 
Y55-59,EXT_FOR_HDI_VH,NR,M,EL	679 	656 	640 	576 
Y55-59,EXT_FOR_HDI_VH,NR,M,ES	14113 	13588 	13185 	12762 
Y55-59,EXT_FOR_HDI_VH,NR,M,FI	421 	358 	324 	298 
Y55-59,EXT_FOR_HDI_VH,NR,M,FR	5778 p	5649 p	5483 p	5350 
Y55-59,EXT_FOR_HDI_VH,NR,M,HR	81 	60 	52 	47 
Y55-59,EXT_FOR_HDI_VH,NR,M,HU	426 	374 	332 	288 
Y55-59,EXT_FOR_HDI_VH,NR,M,IE	1245 	1229 	1130 	1144 
Y55-59,EXT_FOR_HDI_VH,NR,M,IS	83 	66 	65 	59 
Y55-59,EXT_FOR_HDI_VH,NR,M,IT	10001 e	9485 	8871 	8403 
Y55-59,EXT_FOR_HDI_VH,NR,M,LI	8 	10 	7 	4 
Y55-59,EXT_FOR_HDI_VH,NR,M,LT	6 	4 	4 	9 
Y55-59,EXT_FOR_HDI_VH,NR,M,LU	162 b	101 	93 	87 
Y55-59,EXT_FOR_HDI_VH,NR,M,LV	50 	43 	40 	35 
Y55-59,EXT_FOR_HDI_VH,NR,M,MT	227 	212 	183 	159 
Y55-59,EXT_FOR_HDI_VH,NR,M,NL	3857 	3695 	3478 	3235 
Y55-59,EXT_FOR_HDI_VH,NR,M,NO	1798 	1713 	1594 	1501 
Y55-59,EXT_FOR_HDI_VH,NR,M,PL	33 ep	86 p	138 p	185 p
Y55-59,EXT_FOR_HDI_VH,NR,M,PT	520 	219 	413 	373 
Y55-59,EXT_FOR_HDI_VH,NR,M,RO	155 	120 	91 	75 e
Y55-59,EXT_FOR_HDI_VH,NR,M,SE	2933 	2831 	2696 	2589 
Y55-59,EXT_FOR_HDI_VH,NR,M,SI	84 	77 	64 	55 
Y55-59,EXT_FOR_HDI_VH,NR,M,SK	83 	73 	61 	45 
Y55-59,EXT_FOR_HDI_VH,NR,M,UK	19901 	13501 	14981 	13739 
Y55-59,EXT_FOR_HDI_VH,NR,T,AT	2089 	1971 	1849 	1727 
Y55-59,EXT_FOR_HDI_VH,NR,T,BE	2581 	2456 	2377 	2354 
Y55-59,EXT_FOR_HDI_VH,NR,T,BG	126 	130 	133 	114 
Y55-59,EXT_FOR_HDI_VH,NR,T,CH	7118 	6936 	6664 	6221 
Y55-59,EXT_FOR_HDI_VH,NR,T,CY	150 	120 	104 	172 
Y55-59,EXT_FOR_HDI_VH,NR,T,CZ	596 	505 	461 	441 
Y55-59,EXT_FOR_HDI_VH,NR,T,DK	2199 	2029 	1877 	1702 
Y55-59,EXT_FOR_HDI_VH,NR,T,EE	40 	44 	53 b	52 
Y55-59,EXT_FOR_HDI_VH,NR,T,EL	2248 	2162 	2070 	1829 
Y55-59,EXT_FOR_HDI_VH,NR,T,ES	27771 	26816 	26096 	25384 
Y55-59,EXT_FOR_HDI_VH,NR,T,FI	671 	599 	529 	501 
Y55-59,EXT_FOR_HDI_VH,NR,T,FR	12843 p	11864 p	12081 p	11744 
Y55-59,EXT_FOR_HDI_VH,NR,T,HR	165 	148 	128 	108 
Y55-59,EXT_FOR_HDI_VH,NR,T,HU	704 	628 	558 	482 
Y55-59,EXT_FOR_HDI_VH,NR,T,IE	2537 	2426 	2292 	2360 
Y55-59,EXT_FOR_HDI_VH,NR,T,IS	146 	127 	126 	122 
Y55-59,EXT_FOR_HDI_VH,NR,T,IT	22391 e	21311 	20040 	19028 
Y55-59,EXT_FOR_HDI_VH,NR,T,LI	20 	20 	15 	8 
Y55-59,EXT_FOR_HDI_VH,NR,T,LT	6 	6 	5 	15 
Y55-59,EXT_FOR_HDI_VH,NR,T,LU	316 b	203 	188 	177 
Y55-59,EXT_FOR_HDI_VH,NR,T,LV	60 	52 	48 	45 
Y55-59,EXT_FOR_HDI_VH,NR,T,MT	508 	468 	398 	340 
Y55-59,EXT_FOR_HDI_VH,NR,T,NL	7949 	7652 	7211 	6688 
Y55-59,EXT_FOR_HDI_VH,NR,T,NO	3643 	3481 	3190 	2965 
Y55-59,EXT_FOR_HDI_VH,NR,T,PL	74 ep	127 p	193 p	242 p
Y55-59,EXT_FOR_HDI_VH,NR,T,PT	1266 	548 	661 	519 
Y55-59,EXT_FOR_HDI_VH,NR,T,RO	210 	166 	124 	104 e
Y55-59,EXT_FOR_HDI_VH,NR,T,SE	5792 	5605 	5359 	5252 
Y55-59,EXT_FOR_HDI_VH,NR,T,SI	163 	144 	113 	97 
Y55-59,EXT_FOR_HDI_VH,NR,T,SK	113 	98 	82 	66 
Y55-59,EXT_FOR_HDI_VH,NR,T,UK	41882 	30068 	34785 	34418 
Y55-59,NAT,NR,F,AT	261510 	254130 	245285 	235378 
Y55-59,NAT,NR,F,BE	322040 	317947 	315463 	310564 
Y55-59,NAT,NR,F,BG	244825 	249246 	254769 	259386 
Y55-59,NAT,NR,F,CH	193180 	189574 	186393 	183069 
Y55-59,NAT,NR,F,CY	23278 	22619 	21854 	21081 
Y55-59,NAT,NR,F,CZ	306261 	319521 	334882 	351575 
Y55-59,NAT,NR,F,DK	161972 	161603 	161023 	161286 
Y55-59,NAT,NR,F,EE	35160 	34533 	34248 b	34084 
Y55-59,NAT,NR,F,EL	323796 	323831 	321838 	317381 
Y55-59,NAT,NR,F,ES	1414263 	1387120 	1350592 	1309599 
Y55-59,NAT,NR,F,FI	174429 	176561 	178670 	181465 
Y55-59,NAT,NR,F,FR	1855342 p	1846277 p	1832314 p	1819169 
Y55-59,NAT,NR,F,HR	126053 	128175 	130001 	130665 
Y55-59,NAT,NR,F,HU	312955 	332524 	355685 	381546 
Y55-59,NAT,NR,F,IE	119422 	116615 	114144 	112041 
Y55-59,NAT,NR,F,IS	9447 	9505 	9436 	9232 
Y55-59,NAT,NR,F,IT	1914235 e	1881006 	1855491 	1832717 
Y55-59,NAT,NR,F,LI	501 	504 	490 	485 
Y55-59,NAT,NR,F,LT	111156 	107345 	103423 	98900 
Y55-59,NAT,NR,F,LU	9617 b	9397 	9299 	9280 
Y55-59,NAT,NR,F,LV	60909 	59741 	58423 	56975 
Y55-59,NAT,NR,F,MT	13979 	14176 	14082 	13978 
Y55-59,NAT,NR,F,NL	514229 	505883 	500324 	492052 
Y55-59,NAT,NR,F,NO	137618 	138398 	138876 	138661 
Y55-59,NAT,NR,F,PL	1397251 ep	1450231 p	1492339 p	1504922 p
Y55-59,NAT,NR,F,PT	345210 	338592 	338476 	336784 
Y55-59,NAT,NR,F,RO	641759 	682945 	722281 	748137 e
Y55-59,NAT,NR,F,SE	230631 	231848 	233906 	234154 
Y55-59,NAT,NR,F,SI	61338 	61562 	62062 	62680 
Y55-59,NAT,NR,F,SK	181487 	185427 	189411 	192895 
Y55-59,NAT,NR,F,UK	1823905 	1787724 	1730904 	1686471 
Y55-59,NAT,NR,M,AT	257840 	249149 	240036 	229691 
